Device_ID,IMEI,WiFi MAC ID,Charger Cable Connected,Charging,Button Test,Battery Percentage,NOR Flash Test,EEPROM Test,EEPROM ERASE Test,GPS Test,RTC Test,Scanner 1 Test,Scanner 2 Test,WiFi Test,Validity,Board Test Result,TimeStamp,Server,Product code,Start_up packet,Health packet,comm_mode,comm_mode,wifi_fw_ver,firmware_version,hardware_version,communication_mode,BLE Scanner,Lora Scanner,Application Test Result
GSWCL00079,8.67689E+14,D4:D4:DA:20:3E:20,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:11:01,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00080,8.67689E+14,08:3A:8D:29:32:FC,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 17:15:43,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00081,8.67689E+14,D4:D4:DA:20:3D:30,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:01:43,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00082,8.67689E+14,D4:D4:DA:20:3E:50,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:26:58,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00083,8.67689E+14,08:3A:8D:2A:F9:08,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:56:50,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00084,8.67689E+14,08:3A:8D:2A:F8:B8,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:19:07,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00085,8.67689E+14,08:3A:8D:2A:F8:A0,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 16:33:16,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00086,8.67689E+14,08:3A:8D:2A:FF:6C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:30:18,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00087,8.67689E+14,08:3A:8D:2A:F6:94,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:05:22,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00088,8.67689E+14,08:3A:8D:2A:F6:08,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:52:39,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
