Device_ID,User Switch,Flash,Temperature Sensor,Temperature,Humidity,Radio,Sleep Current (uA),Date
H4200228,1,1,1,28.6,47,1,3.454762,13:02:2024 15:03:15
H4200229,1,1,1,29.7,51,1,4.9664472,13:02:2024 15:41:42
H4200230,1,1,1,28.7,46,1,5.6530427,13:02:2024 15:11:03
H4200231,1,1,1,30.5,44,1,5.0507411,13:02:2024 15:29:26
H4200232,1,1,1,28.7,52,1,5.0519721,13:02:2024 15:15:26
H4200233,1,1,1,28.6,50,1,4.8743822,13:02:2024 15:56:32
H4200234,1,1,1,29,48,1,3.4973822,13:02:2024 14:34:54
H4200235,1,1,1,28,49,1,7.0327945,13:02:2024 15:19:26
H4200236,1,1,1,29.1,50,1,3.6440202,13:02:2024 15:32:20
H4200237,1,1,1,29.2,51,1,4.9903137,13:02:2024 15:04:22
H4200238,1,1,1,30.3,45,1,4.3728357,13:02:2024 15:23:40
H4200239,1,1,1,29.3,53,1,4.9547671,13:02:2024 15:34:46
H4200240,1,1,1,29.1,51,1,4.3781221,13:02:2024 15:08:38
H4200241,1,1,1,29.5,52,1,5.6998461,13:02:2024 14:30:54
H4200242,1,1,1,28.7,52,1,6.1927738,13:02:2024 15:25:38
H4200243,1,1,1,29.6,49,1,7.0696358,13:02:2024 14:35:56
H4200244,1,1,1,28.9,46,1,4.8486798,13:02:2024 15:06:46
H4200245,1,1,1,29.1,51,1,4.3722357,13:02:2024 15:20:53
H4200246,1,1,1,29,51,1,7.0615746,13:02:2024 15:31:45
H4200247,1,1,1,29.5,49,1,4.3087453,13:02:2024 15:58:13
H4200248,1,1,1,28.9,51,1,4.747319,13:02:2024 15:28:28
H4200249,1,1,1,28.9,53,1,4.9231233,13:02:2024 15:30:12
H4200250,1,1,1,29.2,50,1,5.6828384,13:02:2024 15:09:06
H4200251,1,1,1,29,53,1,3.654869,13:02:2024 15:05:02
H4200252,1,1,1,29,52,1,7.064863,13:02:2024 15:11:34
H4200253,1,1,1,29,52,1,6.1690513,13:02:2024 15:27:04
H4200254,1,1,1,28.9,45,1,4.8659904,13:02:2024 15:17:57
H4200255,1,1,1,29,52,1,4.3888535,13:02:2024 15:57:44
H4200256,1,1,1,29.1,47,1,5.0599434,13:02:2024 14:36:31
H4200257,1,1,1,29.9,43,1,3.6238912,13:02:2024 15:46:26
H4200258,1,1,1,28.6,50,1,3.6100295,13:02:2024 15:34:13
H4200259,1,1,1,29.1,53,1,4.8455442,13:02:2024 15:18:56
H4200260,1,1,1,29.4,51,1,4.7394627,13:02:2024 15:14:04
H4200261,1,1,1,29.2,51,1,4.7395426,13:02:2024 18:13:30
H4200262,1,1,1,29.4,49,1,3.6863823,13:02:2024 15:33:47
H4200263,1,1,1,28.5,52,1,4.8128914,13:02:2024 14:40:43
H4200264,1,1,1,29.2,49,1,4.9569517,13:02:2024 15:24:39
H4200265,1,1,1,29.3,44,1,4.9434406,13:02:2024 15:14:59
H4200266,1,1,1,29.4,50,1,4.8245874,13:02:2024 15:10:38
H4200267,1,1,1,30.7,44,1,4.3562625,13:02:2024 14:47:36
H4200268,1,1,1,29.2,50,1,4.9486809,13:02:2024 15:08:11
H4200269,1,1,1,29.5,52,1,7.0810901,13:02:2024 14:44:14
H4200270,1,1,1,29.2,53,1,4.871896,13:02:2024 15:54:01
H4200271,1,1,1,29.4,51,1,4.3911684,13:02:2024 15:32:52
H4200272,1,1,1,29,48,1,4.9974798,13:02:2024 15:12:56
H4200273,1,1,1,28.7,52,1,4.7239801,13:02:2024 14:35:26
H4200274,1,1,1,29.1,50,1,6.1877586,13:02:2024 15:07:15
H4200275,1,1,1,29.4,54,1,4.9728623,13:02:2024 14:42:44
H4200276,1,1,1,29,52,1,4.7036548,13:02:2024 15:28:01
H4200277,1,1,1,30.6,43,1,4.9985553,13:02:2024 15:23:08
H4200278,1,1,1,28.8,54,1,3.49253,13:02:2024 14:37:50
H4200279,1,1,1,28.8,49,1,4.3228839,13:02:2024 14:33:42
H4200280,1,1,1,28.8,45,1,3.6061982,13:02:2024 15:14:33
H4200281,1,1,1,28.3,43,1,5.0807204,13:02:2024 14:34:11
H4200282,1,1,1,29.6,52,1,3.6281747,13:02:2024 14:32:56
H4200283,1,1,1,28.3,53,1,4.9760319,13:02:2024 15:12:02
H4200284,1,1,1,30.3,45,1,4.9363027,13:02:2024 14:45:37
H4200285,1,1,1,28.7,48,1,4.7382826,13:02:2024 15:39:01
H4200286,1,1,1,29,50,1,4.8340865,13:02:2024 15:28:57
H4200287,1,1,1,29.2,52,1,3.6197018,13:02:2024 14:41:12
H4200288,1,1,1,28.3,44,1,4.3984522,13:02:2024 15:52:28
H4200289,1,1,1,28.6,44,1,7.0172528,13:02:2024 14:42:16
H4200290,1,1,1,28.5,52,1,4.9121806,13:02:2024 15:13:27
H4200291,1,1,1,29.5,49,1,4.9056261,13:02:2024 15:26:34
H4200292,1,1,1,29,51,1,4.7908121,13:02:2024 15:18:24
H4200293,1,1,1,30.6,45,1,4.7163281,13:02:2024 14:48:03
H4200294,1,1,1,28.9,52,1,4.8111689,13:02:2024 15:10:10
H4200295,1,1,1,29.5,51,1,7.0070878,13:02:2024 15:38:32
H4200296,1,1,1,28.4,42,1,4.8304409,13:02:2024 15:57:03
H4200297,1,1,1,29.9,52,1,7.0550486,13:02:2024 15:05:36
H4200298,1,1,1,29.1,48,1,4.3663815,13:02:2024 15:09:41
H4200299,1,1,1,29.6,51,1,4.7458569,13:02:2024 15:54:34
H4200300,1,1,1,28.9,47,1,4.877992,13:02:2024 15:46:55
H4200301,1,1,1,28.6,53,1,5.0899918,13:02:2024 13:18:08
H4200302,1,1,1,30.7,45,1,4.9123066,13:02:2024 13:18:35
H4200303,1,1,1,29.9,43,1,3.6551463,13:02:2024 13:19:08
H4200304,1,1,1,28.2,45,1,4.7350019,13:02:2024 13:19:41
H4200305,1,1,1,28.7,45,1,5.0057358,13:02:2024 13:20:09
H4200306,1,1,1,30.6,43,1,3.0574995,13:02:2024 13:20:55
