Device_ID,Temperature Sensor,Temperature,Humidity,Sleep Current,TimeStamp,
S3600276,1,28.6,45,22.8934618,04:06:2023 12:00:29,
S3600277,1,28.1,52,26.6545494,04:06:2023 11:35:59,
S3600278,1,28.7,42,18.8359645,04:06:2023 11:13:30,
S3600279,1,29,52,20.0882038,04:06:2023 11:10:14,
S3600280,1,28.6,47,19.2956436,04:06:2023 11:57:46,
S3600281,1,28.7,49,22.7184789,04:06:2023 11:03:21,
S3600282,1,29.1,50,12.8215158,04:06:2023 10:57:54,
S3600283,1,29.3,45,22.4933167,04:06:2023 11:29:20,
S3600284,1,29.3,49,22.7860418,04:06:2023 11:10:40,
S3600285,1,29.4,47,22.1436667,04:06:2023 11:07:26,
S3600286,1,29,51,23.5791386,04:06:2023 11:09:43,
S3600287,1,28.9,46,19.1451048,04:06:2023 12:06:18,
S3600288,1,29.4,52,22.0964059,04:06:2023 11:17:17,
S3600289,1,28.7,42,18.8324505,04:06:2023 11:15:54,
S3600290,1,28.1,44,22.3070772,04:06:2023 11:51:17,
S3600291,1,29.9,44,26.1742015,04:06:2023 11:19:50,
S3600292,1,29.3,49,23.0434443,04:06:2023 12:03:22,
S3600293,1,29,54,20.3938936,04:06:2023 11:46:23,
S3600294,1,28.8,48,19.3693066,04:06:2023 11:50:01,
S3600295,1,28.9,53,17.4558765,04:06:2023 12:05:52,
S3600296,1,28.9,52,21.2883832,04:06:2023 11:23:45,
S3600297,1,28.6,51,21.7183624,04:06:2023 11:42:24,
S3600298,1,28.6,44,17.4814538,04:06:2023 12:33:53,
S3600299,1,29.3,53,20.5802771,04:06:2023 12:33:01,
S3600300,1,28.9,47,23.8453493,04:06:2023 11:43:18,
S3600301,1,28.9,43,20.1219008,04:06:2023 11:25:24,
S3600302,1,29.6,50,20.6361464,04:06:2023 11:42:52,
S3600303,1,28.8,48,20.7727043,04:06:2023 12:20:28,
S3600304,1,28.7,49,20.4379505,04:06:2023 12:09:23,
S3600305,1,29,53,23.84265,04:06:2023 12:35:47,
S3600306,1,29.3,52,28.3595792,04:06:2023 12:28:50,
S3600307,1,29.4,52,22.8307212,04:06:2023 12:15:41,
S3600308,1,29.1,53,22.6720435,04:06:2023 12:31:32,
S3600309,1,29.5,50,22.8611952,04:06:2023 11:47:50,
S3600310,1,29.2,46,20.0378451,04:06:2023 11:41:56,
S3600311,1,29.2,45,17.7164848,04:06:2023 12:30:13,
S3600312,1,28.7,48,19.4138677,04:06:2023 12:13:57,
S3600313,1,29.9,44,17.1696772,04:06:2023 12:30:39,
S3600314,1,29.9,42,22.4233695,04:06:2023 12:04:35,
S3600315,1,28.3,48,22.7476513,04:06:2023 11:06:32,
S3600316,1,28.8,49,26.844174,04:06:2023 11:57:14,
S3600317,1,29.5,48,22.0393415,04:06:2023 11:55:48,
S3600318,1,28.9,52,20.7197609,04:06:2023 11:14:27,
S3600319,1,29,51,20.0771488,04:06:2023 11:07:01,
S3600320,1,29.3,52,16.2261148,04:06:2023 12:00:03,
S3600321,1,29.1,52,19.3521853,04:06:2023 11:56:15,
S3600322,1,28.2,43,22.3618899,04:06:2023 11:15:22,
S3600323,1,28.3,44,16.8886055,04:06:2023 11:05:33,
S3600324,1,29,55,22.9648105,04:06:2023 11:16:52,
S3600325,1,28.8,51,20.6427528,04:06:2023 12:49:32,
S3600326,1,28,45,20.6311596,04:06:2023 12:26:01,
S3600327,1,28.2,44,21.0779247,04:06:2023 11:01:48,
S3600328,1,28.8,52,19.2426198,04:06:2023 12:26:56,
S3600329,1,28.7,53,17.2643525,04:06:2023 11:18:13,
S3600330,1,29.5,52,23.3675885,04:06:2023 11:19:14,
S3600331,1,29.2,51,15.8371915,04:06:2023 11:00:17,
S3600332,1,29,50,20.3253152,04:06:2023 11:01:17,
S3600333,1,29.1,53,27.35623,04:06:2023 11:26:25,
S3600334,1,29.1,52,23.2821041,04:06:2023 11:26:00,
S3600335,1,28.9,49,18.8816842,04:06:2023 12:08:53,
S3600336,1,28,53,27.0785984,04:06:2023 12:01:25,
S3600337,1,28.1,45,17.9742816,04:06:2023 12:16:38,
S3600338,1,28.3,52,24.0331436,04:06:2023 12:07:34,
S3600339,1,28.3,43,19.1276886,04:06:2023 11:54:55,
S3600340,1,28,46,24.2027359,04:06:2023 12:42:47,
S3600341,1,29.5,51,17.3993971,04:06:2023 12:12:29,
S3600342,1,29.2,53,17.5600592,04:06:2023 11:48:17,
S3600343,1,29.2,52,19.1951427,04:06:2023 11:20:43,
S3600344,1,29,49,20.1798571,04:06:2023 12:18:35,
S3600345,1,29.8,50,23.8504146,04:06:2023 11:44:14,
S3600346,1,29,46,21.240411,04:06:2023 12:21:23,
S3600347,1,28.8,50,16.1950582,04:06:2023 12:39:12,
S3600348,1,28,44,20.9481083,04:06:2023 12:43:39,
S3600349,1,29.4,49,21.5023651,04:06:2023 12:12:01,
S3600350,1,28.6,44,20.3017203,04:06:2023 11:45:31,
S3600351,1,29.4,43,22.3950719,04:06:2023 12:14:26,
S3600352,1,28.4,47,24.1507655,04:06:2023 12:11:08,
S3600353,1,29.9,45,18.0868043,04:06:2023 11:41:30,
S3600354,1,29.6,45,20.6284906,04:06:2023 11:41:05,
S3600355,1,28.5,49,19.5522187,04:06:2023 12:10:43,
S3600356,1,29.8,42,20.4637462,04:06:2023 11:45:03,
S3600357,1,28.4,42,16.0449627,04:06:2023 12:11:32,
S3600358,1,29.5,52,16.980907,04:06:2023 12:10:18,
S3600359,1,29.1,50,20.1389161,04:06:2023 12:49:58,
S3600360,1,29.4,51,25.373004,04:06:2023 11:59:37,
S3600361,1,29.5,48,20.1476916,04:06:2023 11:50:26,
S3600362,1,28.7,49,17.1302685,04:06:2023 11:50:53,
S3600363,1,28.9,52,20.4980013,04:06:2023 11:33:21,
S3600364,1,28.2,43,27.1520242,04:06:2023 11:34:24,
S3600365,1,29.1,52,26.7531366,04:06:2023 12:06:45,
S3600366,1,28.1,48,20.5832768,04:06:2023 11:32:57,
S3600367,1,28.5,45,19.0754223,04:06:2023 11:31:59,
S3600368,1,29.2,49,20.2459669,04:06:2023 11:31:24,
S3600369,1,28.4,44,18.302686,04:06:2023 11:06:04,
S3600370,1,28.2,47,20.3806978,04:06:2023 11:37:34,
S3600371,1,28.9,49,18.2977982,04:06:2023 11:32:26,
S3600372,1,29.1,50,20.3662129,04:06:2023 11:29:47,
S3600373,1,28.3,47,29.8177266,04:06:2023 11:30:52,
S3600374,1,29,53,22.9335277,04:06:2023 11:30:14,
S3600375,1,29.1,49,22.2275169,04:06:2023 11:39:36,
S3600376,1,28.5,52,23.2744554,04:06:2023 11:40:35,
S3600377,1,29,51,20.3081638,04:06:2023 11:44:39,
S3600378,1,29.6,49,20.4455692,04:06:2023 11:33:54,
S3600379,1,28.5,49,18.9830867,04:06:2023 11:34:52,
S3600380,1,29.3,50,23.1607018,04:06:2023 12:24:48,
S3600381,1,29.2,49,19.0175904,04:06:2023 12:48:16,
S3600382,1,29.6,47,20.2631009,04:06:2023 12:47:05,
S3600383,1,28.1,44,18.0283178,04:06:2023 12:46:36,
S3600384,1,29.4,49,15.5342224,04:06:2023 12:46:07,
S3600385,1,29.2,49,24.6838027,04:06:2023 12:39:41,
S3600386,1,29,48,29.5605122,04:06:2023 12:41:01,
S3600387,1,29.3,52,24.1147747,04:06:2023 12:38:44,
S3600388,1,29.3,52,23.8315657,04:06:2023 12:40:10,
S3600389,1,28.8,52,20.7785853,04:06:2023 12:41:54,
S3600390,1,28.7,52,17.8921184,04:06:2023 12:37:43,
S3600391,1,28.9,53,17.6922041,04:06:2023 12:36:19,
S3600392,1,29.5,48,16.5025191,04:06:2023 12:38:08,
S3600393,1,28.6,52,19.7996311,04:06:2023 12:37:14,
S3600394,1,28.7,48,18.1411565,04:06:2023 11:35:31,
S3600395,1,29.5,51,17.3890161,04:06:2023 12:22:55,
S3600396,1,28.8,51,17.8180062,04:06:2023 11:49:33,
S3600397,1,29.4,51,23.2127394,04:06:2023 11:49:07,
S3600398,1,29.8,48,19.3655774,04:06:2023 11:48:43,
S3600399,1,29.1,49,19.0863423,04:06:2023 11:38:26,
S3600400,1,29.1,53,22.2678261,04:06:2023 12:24:20,
S3600401,1,29.8,50,19.0337607,03:06:2023 16:10:35,
S3600402,1,28.5,48,21.3681528,03:06:2023 16:11:14,
S3600403,1,29.9,43,21.9731764,03:06:2023 16:11:53,
S3600404,1,28.7,53,19.2370034,03:06:2023 16:12:27,
S3600405,1,29,54,23.0198102,03:06:2023 16:12:58,
S3600406,1,29.7,45,18.120989,03:06:2023 16:15:04,
S3600407,1,28.2,45,19.3654307,03:06:2023 16:15:39,
S3600408,1,28.2,41,22.3866066,03:06:2023 16:18:36,
S3600409,1,28.7,52,19.8162681,03:06:2023 16:19:08,
S3600410,1,29.5,53,19.1392775,03:06:2023 16:19:40,
S3600411,1,29.9,50,20.6969077,03:06:2023 16:22:47,
S3600412,1,29.7,51,17.1919653,03:06:2023 16:23:37,
S3600413,1,29.1,52,15.0463002,03:06:2023 16:24:42,
S3600414,1,28.1,43,17.9776784,03:06:2023 16:25:32,
S3600415,1,29.9,52,20.8462451,03:06:2023 16:26:02,
